                  Wedge	                    muS	                    muI	
           0.8498864267	           0.0945729356	           0.0000000000	
           0.8511199602	           0.0945729356	           0.0000000000	
           0.8523411584	           0.0945729356	           0.0000000000	
           0.8535501445	           0.0945729356	           0.0000000000	
           0.8547470409	           0.0945729356	           0.0000000000	
           0.8559319682	           0.0945729356	           0.0000000000	
           0.8571050463	           0.0945729356	           0.0000000000	
           0.8582663936	           0.0945729356	           0.0000000000	
           0.8594161274	           0.0945729356	           0.0000000000	
           0.8605543639	           0.0945729356	           0.0000000000	
           0.8616812180	           0.0945729356	           0.0000000000	
           0.8627968036	           0.0945729356	           0.0000000000	
           0.8639012333	           0.0945729356	           0.0000000000	
           0.8649946188	           0.0945729356	           0.0000000000	
           0.8660770703	           0.0945729356	           0.0000000000	
           0.8671486974	           0.0945729356	           0.0000000000	
           0.8682096082	           0.0945729356	           0.0000000000	
           0.8692599099	           0.0945729356	           0.0000000000	
           0.8702997085	           0.0945729356	           0.0000000000	
           0.8713291092	           0.0945729356	           0.0000000000	
           0.8723482159	           0.0945729356	           0.0000000000	
           0.8733571315	           0.0945729356	           0.0000000000	
           0.8743559579	           0.0945729356	           0.0000000000	
           0.8753447961	           0.0945729356	           0.0000000000	
           0.8763237459	           0.0945729356	           0.0000000000	
           0.8772929062	           0.0945729356	           0.0000000000	
           0.8782523749	           0.0945729356	           0.0000000000	
           0.8792022489	           0.0945729356	           0.0000000000	
           0.8801426242	           0.0945729356	           0.0000000000	
           0.8810735957	           0.0945729356	           0.0000000000	
           0.8819952575	           0.0945729356	           0.0000000000	
           0.8829077027	           0.0945729356	           0.0000000000	
           0.8838110234	           0.0945729356	           0.0000000000	
           0.8847053110	           0.0945729356	           0.0000000000	
           0.8855906556	           0.0945729356	           0.0000000000	
           0.8864671468	           0.0945729356	           0.0000000000	
           0.8873348731	           0.0945729356	           0.0000000000	
           0.8881939222	           0.0945729356	           0.0000000000	
           0.8890443807	           0.0945729356	           0.0000000000	
           0.8898863347	           0.0945729356	           0.0000000000	
           0.8907198691	           0.0945729356	           0.0000000000	
           0.8915450681	           0.0945729356	           0.0000000000	
           0.8923620152	           0.0945729356	           0.0000000000	
           0.8931707928	           0.0945729356	           0.0000000000	
           0.8939714827	           0.0945729356	           0.0000000000	
           0.8947641656	           0.0945729356	           0.0000000000	
           0.8955489217	           0.0945729356	           0.0000000000	
           0.8963258303	           0.0945729356	           0.0000000000	
           0.8970949697	           0.0945729356	           0.0000000000	
           0.8978564178	           0.0945729356	           0.0000000000	
           0.8986102514	           0.0945729356	           0.0000000000	
           0.8993565466	           0.0945729356	           0.0000000000	
           0.9000953789	           0.0945729356	           0.0000000000	
           0.9008268229	           0.0945729356	           0.0000000000	
           0.9015509524	           0.0945729356	           0.0000000000	
